Season,Goals,Assists,Y cards,R Cards
21/22,3,3,2,-
20/21,9,5,6,2
19/20,13,6,3,1
18/19,15,7,2,-
17/18,19,13,5,1
16/17,13,10,7,1
15/16,24,10,6,-
14/15,22,6,6,-
13/14,9,9,6,-
13,-,-,-,-
